episode,robots_requested,seed,robots_spawned,robots_completed,completion_rate,safe_success,ticks,makespan,collisions,waits,replans,blocked_intents,epsilon,q_states,q_decisions,q_updates,q_wait_actions,q_yield_actions,q_replan_actions
59,45,71111810,45,45,1.0,True,203,203,0,67,29,77,0.16751138755386244,252,3527,3527,2823,704,0
60,50,805112172,50,50,1.0,False,223,223,2,107,47,112,0.16700885339120086,253,3639,3639,2899,740,0
61,10,392826125,10,10,1.0,True,169,169,0,0,0,0,0.16650782683102727,253,3639,3639,2899,740,0
62,20,132266597,20,20,1.0,True,189,189,0,11,5,12,0.16600830335053418,253,3651,3651,2908,743,0
63,30,701702530,30,30,1.0,True,182,182,0,18,13,22,0.16551027844048258,253,3673,3673,2918,755,0
64,40,345391759,40,40,1.0,False,193,193,1,83,33,85,0.16501374760516113,254,3758,3758,2986,772,0
65,45,826317043,45,45,1.0,False,202,202,1,41,17,45,0.16451870636234564,254,3803,3803,3017,786,0
66,50,260573761,50,50,1.0,False,206,206,1,72,42,84,0.16402515024325862,255,3887,3887,3073,814,0
67,10,550607872,10,10,1.0,True,185,185,0,0,0,0,0.16353307479252885,255,3887,3887,3073,814,0
68,20,292815765,20,20,1.0,True,200,200,0,4,2,4,0.16304247556815127,255,3891,3891,3075,816,0
69,30,343712706,30,30,1.0,True,190,190,0,18,11,20,0.1625533481414468,255,3911,3911,3091,820,0
70,40,6842832,40,40,1.0,False,233,233,1,36,20,45,0.16206568809702246,256,3956,3956,3125,831,0
71,45,379967256,45,45,1.0,False,208,208,11,137,69,148,0.1615794910327314,261,4104,4104,3237,867,0
72,50,563374762,50,50,1.0,False,214,214,3,95,51,106,0.1610947525596332,264,4210,4210,3318,892,0
73,10,707062318,10,10,1.0,True,184,184,0,1,2,2,0.1606114683019543,264,4212,4212,3319,893,0
74,20,326785378,20,20,1.0,True,206,206,0,11,4,11,0.16012963389704843,264,4223,4223,3326,897,0
75,30,595977298,30,30,1.0,False,189,189,1,25,12,25,0.1596492449953573,264,4248,4248,3348,900,0
76,40,423279140,40,40,1.0,False,237,237,16,188,130,200,0.1591702972603712,269,4448,4448,3510,938,0
77,45,417731058,45,45,1.0,False,205,205,2,63,35,65,0.1586927863685901,269,4513,4513,3547,966,0
78,50,199110553,50,50,1.0,True,208,208,0,26,11,26,0.15821670800948434,269,4539,4539,3568,971,0
79,10,738102040,10,10,1.0,True,188,188,0,2,1,2,0.1577420578854559,269,4541,4541,3568,973,0
80,20,118202751,20,20,1.0,True,194,194,0,10,7,12,0.15726883171179953,269,4553,4553,3574,979,0
81,30,944019904,30,30,1.0,True,210,210,0,16,8,17,0.15679702521666414,270,4570,4570,3586,984,0
82,40,35341816,40,40,1.0,False,213,213,5,103,62,112,0.15632663414101414,271,4682,4682,3658,1024,0
83,45,391463111,45,45,1.0,False,223,223,2,78,34,80,0.1558576542385911,275,4762,4762,3718,1044,0
84,50,937114013,50,50,1.0,False,251,251,6,115,70,123,0.15539008127587534,279,4885,4885,3812,1073,0
85,10,673675702,10,10,1.0,True,194,194,0,4,2,4,0.15492391103204772,279,4889,4889,3814,1075,0
86,20,802482048,20,20,1.0,True,209,209,0,17,7,17,0.15445913929895158,279,4906,4906,3829,1077,0
87,30,733296251,30,30,1.0,True,183,183,0,16,7,16,0.15399576188105474,279,4922,4922,3840,1082,0
88,40,600921690,40,40,1.0,True,205,205,0,29,14,31,0.15353377459541157,279,4953,4953,3864,1089,0
89,45,914894713,45,45,1.0,False,206,206,5,141,72,151,0.15307317327162534,290,5104,5104,3983,1121,0
90,50,132974209,50,50,1.0,False,224,224,4,94,46,104,0.15261395375181047,290,5208,5208,4049,1159,0
91,10,67992941,10,10,1.0,True,189,189,0,2,1,2,0.15215611189055503,290,5210,5210,4051,1159,0
